Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.MCRRIP42.M
22:15:16 GMT+0530 (India Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCRRIP42.M Thousand Barrels per Day
Dec 2009,476
Nov 2009,545
Oct 2009,536
Sep 2009,561
Aug 2009,570
Jul 2009,567
Jun 2009,571
May 2009,552
Apr 2009,497
Mar 2009,513
Feb 2009,553
Jan 2009,538
Dec 2008,518
Nov 2008,540
Oct 2008,538
Sep 2008,543
Aug 2008,540
Jul 2008,516
Jun 2008,538
May 2008,563
Apr 2008,540
Mar 2008,527
Feb 2008,538
Jan 2008,534
Dec 2007,535
Nov 2007,539
Oct 2007,520
Sep 2007,539
Aug 2007,554
Jul 2007,589
Jun 2007,572
May 2007,513
Apr 2007,517
Mar 2007,534
Feb 2007,552
Jan 2007,543
Dec 2006,527
Nov 2006,579
Oct 2006,536
Sep 2006,568
Aug 2006,586
Jul 2006,584
Jun 2006,579
May 2006,575
Apr 2006,548
Mar 2006,477
Feb 2006,511
Jan 2006,564
Dec 2005,541
Nov 2005,536
Oct 2005,574
Sep 2005,579
Aug 2005,586
Jul 2005,583
Jun 2005,575
May 2005,580
Apr 2005,533
Mar 2005,531
Feb 2005,532
Jan 2005,546
Dec 2004,556
Nov 2004,553
Oct 2004,568
Sep 2004,576
Aug 2004,581
Jul 2004,583
Jun 2004,569
May 2004,588
Apr 2004,535
Mar 2004,537
Feb 2004,504
Jan 2004,515
Dec 2003,535
Nov 2003,539
Oct 2003,535
Sep 2003,569
Aug 2003,563
Jul 2003,558
Jun 2003,560
May 2003,456
Apr 2003,470
Mar 2003,502
Feb 2003,523
Jan 2003,522
Dec 2002,507
Nov 2002,520
Oct 2002,529
Sep 2002,551
Aug 2002,558
Jul 2002,540
Jun 2002,550
May 2002,503
Apr 2002,489
Mar 2002,478
Feb 2002,512
Jan 2002,498
Dec 2001,496
Nov 2001,513
Oct 2001,500
Sep 2001,531
Aug 2001,529
Jul 2001,529
Jun 2001,537
May 2001,477
Apr 2001,467
Mar 2001,442
Feb 2001,488
Jan 2001,488
Dec 2000,490
Nov 2000,499
Oct 2000,515
Sep 2000,513
Aug 2000,533
Jul 2000,538
Jun 2000,532
May 2000,512
Apr 2000,473
Mar 2000,462
Feb 2000,489
Jan 2000,500
Dec 1999,489
Nov 1999,495
Oct 1999,513
Sep 1999,524
Aug 1999,538
Jul 1999,531
Jun 1999,521
May 1999,500
Apr 1999,453
Mar 1999,457
Feb 1999,480
Jan 1999,477
Dec 1998,470
Nov 1998,472
Oct 1998,489
Sep 1998,505
Aug 1998,510
Jul 1998,490
Jun 1998,513
May 1998,470
Apr 1998,446
Mar 1998,429
Feb 1998,481
Jan 1998,483
Dec 1997,487
Nov 1997,468
Oct 1997,492
Sep 1997,503
Aug 1997,505
Jul 1997,508
Jun 1997,503
May 1997,483
Apr 1997,427
Mar 1997,443
Feb 1997,458
Jan 1997,467
Dec 1996,455
Nov 1996,473
Oct 1996,477
Sep 1996,499
Aug 1996,494
Jul 1996,495
Jun 1996,496
May 1996,467
Apr 1996,458
Mar 1996,451
Feb 1996,426
Jan 1996,438
Dec 1995,431
Nov 1995,466
Oct 1995,422
Sep 1995,453
Aug 1995,476
Jul 1995,491
Jun 1995,494
May 1995,478
Apr 1995,430
Mar 1995,454
Feb 1995,444
Jan 1995,452
Dec 1994,452
Nov 1994,451
Oct 1994,454
