East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.MCRRIP12.M
21:52:07 GMT+0530 (India Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCRRIP12.M Thousand Barrels per Day
Mar 2007,1351
Feb 2007,1373
Jan 2007,1511
Dec 2006,1505
Nov 2006,1538
Oct 2006,1549
Sep 2006,1638
Aug 2006,1577
Jul 2006,1457
Jun 2006,1513
May 2006,1469
Apr 2006,1415
Mar 2006,1490
Feb 2006,1465
Jan 2006,1526
Dec 2005,1543
Nov 2005,1666
Oct 2005,1642
Sep 2005,1719
Aug 2005,1616
Jul 2005,1674
Jun 2005,1645
May 2005,1701
Apr 2005,1640
Mar 2005,1614
Feb 2005,1540
Jan 2005,1521
Dec 2004,1555
Nov 2004,1594
Oct 2004,1504
Sep 2004,1395
Aug 2004,1663
Jul 2004,1679
Jun 2004,1670
May 2004,1613
Apr 2004,1624
Mar 2004,1674
Feb 2004,1693
Jan 2004,1506
Dec 2003,1593
Nov 2003,1489
Oct 2003,1626
Sep 2003,1649
Aug 2003,1635
Jul 2003,1650
Jun 2003,1676
May 2003,1688
Apr 2003,1647
Mar 2003,1637
Feb 2003,1489
Jan 2003,1469
Dec 2002,1532
Nov 2002,1553
Oct 2002,1541
Sep 2002,1527
Aug 2002,1564
Jul 2002,1601
Jun 2002,1585
May 2002,1623
Apr 2002,1599
Mar 2002,1534
Feb 2002,1474
Jan 2002,1353
Dec 2001,1326
Nov 2001,1562
Oct 2001,1461
Sep 2001,1415
Aug 2001,1385
Jul 2001,1537
Jun 2001,1530
May 2001,1643
Apr 2001,1541
Mar 2001,1430
Feb 2001,1623
Jan 2001,1553
Dec 2000,1515
Nov 2000,1582
Oct 2000,1568
Sep 2000,1555
Aug 2000,1680
Jul 2000,1650
Jun 2000,1613
May 2000,1599
Apr 2000,1602
Mar 2000,1635
Feb 2000,1551
Jan 2000,1309
Dec 1999,1450
Nov 1999,1488
Oct 1999,1522
Sep 1999,1549
Aug 1999,1645
Jul 1999,1586
Jun 1999,1577
May 1999,1611
Apr 1999,1555
Mar 1999,1474
Feb 1999,1529
Jan 1999,1585
Dec 1998,1541
Nov 1998,1671
Oct 1998,1305
Sep 1998,1561
Aug 1998,1636
Jul 1998,1616
Jun 1998,1630
May 1998,1618
Apr 1998,1628
Mar 1998,1568
Feb 1998,1553
Jan 1998,1511
Dec 1997,1459
Nov 1997,1495
Oct 1997,1604
Sep 1997,1626
Aug 1997,1574
Jul 1997,1565
Jun 1997,1574
May 1997,1568
Apr 1997,1406
Mar 1997,1349
Feb 1997,1345
Jan 1997,1224
Dec 1996,1336
Nov 1996,1313
Oct 1996,1326
Sep 1996,1418
Aug 1996,1385
Jul 1996,1350
Jun 1996,1318
May 1996,1360
Apr 1996,1319
Mar 1996,1223
Feb 1996,1248
Jan 1996,1367
Dec 1995,1420
Nov 1995,1475
Oct 1995,1399
Sep 1995,1555
Aug 1995,1586
Jul 1995,1574
Jun 1995,1539
May 1995,1454
Apr 1995,1430
Mar 1995,1507
Feb 1995,1459
Jan 1995,1344
Dec 1994,1352
Nov 1994,1475
Oct 1994,1355
Sep 1994,1373
Aug 1994,1416
Jul 1994,1434
Jun 1994,1470
May 1994,1422
Apr 1994,1263
Mar 1994,1195
Feb 1994,1376
Jan 1994,1252
Dec 1993,1305
Nov 1993,1419
Oct 1993,1507
Sep 1993,1438
Aug 1993,1367
Jul 1993,1442
Jun 1993,1467
May 1993,1441
Apr 1993,1402
Mar 1993,1127
Feb 1993,1115
Jan 1993,1239
Dec 1992,1231
Nov 1992,1299
Oct 1992,1360
Sep 1992,1296
Aug 1992,1213
Jul 1992,1349
Jun 1992,1405
May 1992,1314
Apr 1992,1307
Mar 1992,1165
Feb 1992,1160
Jan 1992,1173
Dec 1991,1242
Nov 1991,1161
Oct 1991,1086
Sep 1991,1341
Aug 1991,1320
Jul 1991,1332
Jun 1991,1334
May 1991,1273
Apr 1991,1184
Mar 1991,1242
Feb 1991,1219
Jan 1991,1158
Dec 1990,1083
Nov 1990,1139
Oct 1990,1192
Sep 1990,1420
Aug 1990,1285
Jul 1990,1441
Jun 1990,1317
May 1990,1255
Apr 1990,1186
Mar 1990,1289
Feb 1990,1409
Jan 1990,1404
Dec 1989,1347
Nov 1989,1332
Oct 1989,1372
Sep 1989,1391
Aug 1989,1368
Jul 1989,1350
Jun 1989,1342
May 1989,1044
Apr 1989,1069
Mar 1989,1236
Feb 1989,1290
Jan 1989,1309
Dec 1988,1309
Nov 1988,1232
Oct 1988,1272
Sep 1988,1363
Aug 1988,1405
Jul 1988,1405
Jun 1988,1331
May 1988,1249
Apr 1988,1131
Mar 1988,1256
Feb 1988,1304
Jan 1988,1314
Dec 1987,1320
Nov 1987,1223
Oct 1987,1198
Sep 1987,1274
Aug 1987,1369
Jul 1987,1354
Jun 1987,1385
May 1987,1272
Apr 1987,1255
Mar 1987,1113
Feb 1987,1150
Jan 1987,1099
