Midwest (PADD 2) Refinery and Blender Net Input of Crude Oil Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.MCRRIP22.M
21:56:10 GMT+0530 (India Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCRRIP22.M Thousand Barrels per Day
Mar 1989,2857
Feb 1989,2920
Jan 1989,2932
Dec 1988,2968
Nov 1988,2880
Oct 1988,2845
Sep 1988,2964
Aug 1988,3100
Jul 1988,3015
Jun 1988,2988
May 1988,2936
Apr 1988,2887
Mar 1988,2870
Feb 1988,2786
Jan 1988,2750
Dec 1987,2829
Nov 1987,2868
Oct 1987,2811
Sep 1987,2934
Aug 1987,3000
Jul 1987,2967
Jun 1987,2889
May 1987,2785
Apr 1987,2866
Mar 1987,2676
Feb 1987,2723
Jan 1987,2771
Dec 1986,2851
Nov 1986,2893
Oct 1986,2771
Sep 1986,2841
Aug 1986,3001
Jul 1986,2924
Jun 1986,2932
May 1986,2886
Apr 1986,2720
Mar 1986,2649
Feb 1986,2612
Jan 1986,2769
Dec 1985,2756
Nov 1985,2835
Oct 1985,2745
Sep 1985,2795
Aug 1985,2924
Jul 1985,2883
Jun 1985,2882
May 1985,2703
Apr 1985,2647
Mar 1985,2499
Feb 1985,2536
Jan 1985,2649
Dec 1984,2721
Nov 1984,2677
Oct 1984,2478
Sep 1984,2835
Aug 1984,2865
Jul 1984,2881
Jun 1984,2974
May 1984,2743
Apr 1984,2697
Mar 1984,2817
Feb 1984,2799
Jan 1984,2652
Dec 1983,2694
Nov 1983,2832
Oct 1983,2718
Sep 1983,2874
Aug 1983,2950
Jul 1983,2852
Jun 1983,2830
May 1983,2654
Apr 1983,2721
Mar 1983,2576
Feb 1983,2562
Jan 1983,2680
Dec 1982,2716
Nov 1982,2644
Oct 1982,2621
Sep 1982,2924
Aug 1982,2837
Jul 1982,3029
Jun 1982,3001
May 1982,2755
Apr 1982,2668
Mar 1982,2648
Feb 1982,2730
Jan 1982,2762
Dec 1981,2977
Nov 1981,2932
Oct 1981,2860
Sep 1981,3014
Aug 1981,3062
Jul 1981,2873
Jun 1981,2808
May 1981,2870
Apr 1981,2782
Mar 1981,2895
Feb 1981,3188
Jan 1981,3374
