,Series Name,Period,Frequency,Value,Units
190,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200505,M,580,Thousand Barrels per Day
191,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200504,M,533,Thousand Barrels per Day
192,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200503,M,531,Thousand Barrels per Day
193,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200502,M,532,Thousand Barrels per Day
194,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200501,M,546,Thousand Barrels per Day
195,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200412,M,556,Thousand Barrels per Day
196,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200411,M,553,Thousand Barrels per Day
197,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200410,M,568,Thousand Barrels per Day
198,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200409,M,576,Thousand Barrels per Day
199,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200408,M,581,Thousand Barrels per Day
200,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200407,M,583,Thousand Barrels per Day
201,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200406,M,569,Thousand Barrels per Day
202,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200405,M,588,Thousand Barrels per Day
203,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200404,M,535,Thousand Barrels per Day
204,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200403,M,537,Thousand Barrels per Day
205,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200402,M,504,Thousand Barrels per Day
206,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200401,M,515,Thousand Barrels per Day
207,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200312,M,535,Thousand Barrels per Day
208,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200311,M,539,Thousand Barrels per Day
209,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200310,M,535,Thousand Barrels per Day
210,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200309,M,569,Thousand Barrels per Day
211,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200308,M,563,Thousand Barrels per Day
212,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200307,M,558,Thousand Barrels per Day
213,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200306,M,560,Thousand Barrels per Day
214,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200305,M,456,Thousand Barrels per Day
215,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200304,M,470,Thousand Barrels per Day
216,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200303,M,502,Thousand Barrels per Day
217,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200302,M,523,Thousand Barrels per Day
218,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200301,M,522,Thousand Barrels per Day
219,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200212,M,507,Thousand Barrels per Day
220,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200211,M,520,Thousand Barrels per Day
221,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200210,M,529,Thousand Barrels per Day
222,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200209,M,551,Thousand Barrels per Day
223,"Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil, Monthly",200208,M,558,Thousand Barrels per Day
